"hot_flashes","chills","mood_swings","muscle_tension","joint_pain","fatigue","night_sweats","dizzy","memory_lapse","headaches","brain_fog","vaginal_dryness","brittle_nails","sex_drive","allergies","insomnia","uti","irregular_beat","nausea","anxiety","hair_loss","itchy_skin","breast_pain","heartburn","ringing_ears","tingling_extremeties","facial_hair","yeast_infection","cramps","dry_skin","depression","constipation","vertigo","odor","breast_swelling","bloating","incontinence","painful_intercourse","dry_eyes","diarrhea","vomiting"
0,0.373147804370535,0,0,0,0,1.66237386529545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.373147804370535,0,0,0,0,0,0.232028498622997,0.299846797987619,0,0,0,0,0,0,0,0,0,0.0895136546575654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166050109499201,0,0
0,0,0,0.10652849022543,0.0445443419749853,0.255656649518951,0.259430032675717,0,0.406264500241268,0.366725713660023,0.154779674247926,0,0,0.280750008169601,0,0.0788971639436592,0,0,0.0490443906406447,0.194260846063159,0,0,0,0,0,0.0655436300687961,0,0,0,0,0.927395363721141,0,0,0,0,0,0,0,0,0,0
0,0,0.10652849022543,0,1.02874935152877,0.262389255692685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26958339966232,0.330570562351247,0,0,0,0,0,0.125057111605013,0,0,0,0,0,0,0.245277759108823,0,0
0,0,0.0445443419749853,1.02874935152877,0,0.119643795280218,0,0,0.169280941991802,0.109954322935136,0.0856689797929442,0,0,0,0,0.067085915192642,0.359733371827273,0,0,0,0.246776057907071,0.376633695728175,0,0,0,0.429915352482757,0.199196223681543,0,0,0,0,0,0,0,0,0.183489322198925,0,0.331948159393847,0,0,0
0,0,0.255656649518951,0.262389255692685,0.119643795280218,0,0,0,0.237797101408998,0.166070780165792,0.340112109479319,0,0.232855990724791,0,0,0.133474006449549,0,0,0,0.169636290637488,0,0.0993560005673199,0,0,0,0.226931005556366,0.11447203172362,0,0,0,0.180414757815983,0,0,0,0,0.263305929701771,0,0,0,0,0
1.66237386529545,0.232028498622997,0.259430032675717,0,0,0,0,0,0.0861928016185531,0,0,0,0,0.253760254381856,0,0.429597776673302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.299846797987619,0,0,0,0,0,0,0,0.267163637870586,0.28060849764564,0,0,0,0,0,0,0.411759941169542,0.499598166159622,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07760550892144,0,0,0,0,0,0,0,0
0,0,0.406264500241268,0,0.169280941991802,0.237797101408998,0.0861928016185531,0,0,0,1.35187159837674,0.444320541754254,0.331734382984913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232951386876745,0,0,0.233446941239178,0,0,0,0,0,0,0
0,0,0.366725713660023,0,0.109954322935136,0.166070780165792,0,0.267163637870586,0,0,0,0,0,0,0,0,0,0,0.0139146672710498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.154779674247926,0,0.0856689797929442,0.340112109479319,0,0.28060849764564,1.35187159837674,0,0,0,0,0.213018289643208,0,0.226603870970433,0,0,0,0.270148582752086,0.176873840519579,0.180518145971663,0,0,0,0.233131465910092,0.0289995461638761,0,0,0.0683324370873101,0.096333602808931,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.444320541754254,0,0,0,0.126306003418298,0.689373863194869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22283539453577,0,0,0
0,0,0,0,0,0.232855990724791,0,0,0.331734382984913,0,0,0.126306003418298,0,0,0,0,0,0,0,0,0.569056017822998,0,0,0,0,0,0.262514297694726,0,0,0.46798931524468,0,0,0,0.159976445459703,0,0,0,0,0,0,0
0,0,0.280750008169601,0,0,0,0.253760254381856,0,0,0,0.213018289643208,0.689373863194869,0,0,0,0.236541461108074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439027895622239,0,0,0,0,0,0.671979328299648,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0788971639436592,0,0.067085915192642,0.133474006449549,0.429597776673302,0,0,0,0.226603870970433,0,0,0.236541461108074,0,0,0,0.341787196499572,0,0,0.265525349615639,0.21554494597429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.359733371827273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35619881164824,0,0,0,1.27204020855133,0,0,0,0,0,0,0,0,0,0.396873166259747,0,0,0
0,0.0895136546575654,0,0,0,0,0,0.411759941169542,0,0,0,0,0,0,0,0.341787196499572,0,0,0,0,0,0,0,0,0.216348286389215,0.262668562799887,0,0,0,0,0,0,0.282392569143305,0.182562946255705,0,0,0,0,0,0,0
0,0,0.0490443906406447,0,0,0,0,0.499598166159622,0,0.0139146672710498,0,0,0,0,0,0,0,0,0,0.113763624415424,0,0,0,0.62949371366498,0,0.10582209928891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46298123394266,2.10161186322079
0,0,0.194260846063159,0,0,0.169636290637488,0,0,0,0,0.270148582752086,0,0,0,0,0,0,0,0.113763624415424,0,0,0,0,0,0,0,0,0,0,0,1.3066004284203,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.246776057907071,0,0,0,0,0,0.176873840519579,0,0.569056017822998,0,0,0.265525349615639,0,0,0,0,0,0.204285816914778,0,0,0,0,0.362671630808806,0,0,0.258866354567128,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.376633695728175,0.0993560005673199,0,0,0,0,0.180518145971663,0,0,0,0,0.21554494597429,0,0,0,0,0.204285816914778,0,0,0,0,0.203853102316444,0,0,0,0.581470101169683,0,0,0,0,0,0,0,0,0.176181876304544,0.125623517950093,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857413655439805,0,0,0,0,0,1.44631100883308,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35619881164824,0,0.62949371366498,0,0,0,0,0,0,0.0759748052404309,0,0,0,0,0,0.260753876309702,0,0,0,0,0,0,0,0,0
0,0,0,0.26958339966232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216348286389215,0,0,0,0,0,0,0,0.300347596816406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0655436300687961,0.330570562351247,0.429915352482757,0.226931005556366,0,0,0,0,0.233131465910092,0,0,0,0,0,0,0.262668562799887,0.10582209928891,0,0,0.203853102316444,0,0.0759748052404309,0.300347596816406,0,0,0,0,0,0,0,0.168413359186302,0,0,0,0,0,0,0,0
0,0,0,0,0.199196223681543,0.11447203172362,0,0,0,0,0.0289995461638761,0,0.262514297694726,0,0,0,0,0,0,0,0.362671630808806,0,0,0,0,0,0,0,0,0.316600347393803,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27204020855133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857413655439805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0683324370873101,0,0.46798931524468,0,0,0,0,0,0,0,0.258866354567128,0.581470101169683,0,0,0,0,0.316600347393803,0,0,0,0,0,0,0,0,0,0,0,0.54717414396774,0,0
0,0,0.927395363721141,0,0,0.180414757815983,0,0,0.232951386876745,0,0.096333602808931,0,0,0,0,0,0,0,0,1.3066004284203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.125057111605013,0,0,0,0,0,0,0,0,0,0.0439027895622239,0,0,0,0,0,0,0,0,0,0.260753876309702,0,0,0,0,0,0,0,0,0,0,0,0.371815178717931,0,0,0,0,0.300658696151472
0,0,0,0,0,0,0,1.07760550892144,0,0,0,0,0,0,0,0,0,0.282392569143305,0,0,0,0,0,0,0,0.168413359186302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.233446941239178,0,0,0,0.159976445459703,0,0,0,0,0.182562946255705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44631100883308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.183489322198925,0.263305929701771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371815178717931,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.331948159393847,0,0,0,0,0,0,1.22283539453577,0,0.671979328299648,0,0,0.396873166259747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.166050109499201,0,0.245277759108823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176181876304544,0,0,0,0,0,0,0,0.54717414396774,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46298123394266,0,0,0.125623517950093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10161186322079,0,0,0,0,0,0,0,0,0,0,0,0,0.300658696151472,0,0,0,0,0,0,0,0,0
