"dry_eyes","spotting","brain_fog","nausea","fatigue","dry_skin","vertigo","memory_lapse","bloating","chills","breast_pain","anxiety","depression","insomnia","breast_swelling","headaches","muscle_tension","night_sweats","brittle_nails","tingling_extremeties","ringing_ears","diarrhea","joint_pain","irregular_beat","hot_flashes","incontinence","mood_swings","sex_drive","heartburn","constipation","facial_hair","cramps","dizzy","allergies","hair_loss","vaginal_dryness","itchy_skin","ovulation_pain","ovulation","odor","uti","nipple_discharge","yeast_infection","painful_intercourse","vomiting"
0,0,0.133364927982864,0,0,0.47713855097714,0,0.106438892865175,0,0,0,0,0,0,0,0.0733420248278429,0.152698116878566,0,0,0,0.0692704301628281,0,0,0,0,0,0,0,0.21305693657876,0,0,0,0,0.159947833450129,0,0.327610117997695,0,0,0,0,0,0,0,0,0
0,0,0,0.124526203234792,0,0,0,0,0,0,0.0923719323712084,0,0,0,0,0.121064861555363,0,0,0,0,0,0.308333001503501,0,0,0,0,0,0,0,0,0,0.643425402552138,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133364927982864,0,0,0,0.573525718146044,0,0,1.22279227379894,0.194156339805681,0,0,0.250333258193328,0.0336835385758897,0.0716383843484913,0,0,0.0795945477457814,0,0.114032824332265,0,0.228703752251458,0,0.015064978385748,0,0,0,0.221538125788688,0,0,0,0,0,0.38767063947279,0,0,0,0.191652663586178,0,0,0,0,0,0,0,0
0,0.124526203234792,0,0,0.135614232285804,0,0.324580980892296,0.0982479712851387,0,0.466652677523864,0,0,0,0,0,0.239635889577806,0,0,0,0.0680172379696276,0,0.311097825785462,0,0.268193581724628,0,0,0.0410524461010276,0,0.181744951457526,0,0,0.149895967140196,0.511605531283881,0,0,0,0,0,0,0,0,0,0,0,0.916049467769212
0,0,0.573525718146044,0.135614232285804,0,0.41626853969997,0,0,0.146195941719047,0,0.144248411530941,0.236526409789135,0.525141794347331,0.11884212267048,0,0.162002919863302,0,0,0,0,0,0,0.317996037687673,0,0,0,0.128670761933979,0,0.353930322638967,0,0,0.0724148015102485,0.298011309756231,0,0,0,0,0,0,0,0,0,0,0,0
0.47713855097714,0,0,0,0.41626853969997,0,0,0,0.214826170391703,0,0,0,0,0,0,0,0.35839228032277,0,0.462655149659721,0,0.154173612114443,0,0.0351355414562211,0,0,0,0,0,0,0,0.184902476854654,0,0,0.19422484196862,0.347821318756183,0.20061839300461,0.899760552162945,0,0,0,0,0,0,0,0
0,0,0,0.324580980892296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160995632974609,0.40052945182516,0,0,0,0,0,0,0,0.464423292829701,0,0,0,0.813720086259615,0,0,0,0.0184536753855636,0,0,0,0,0,0,0,0
0.106438892865175,0,1.22279227379894,0.0982479712851387,0,0,0,0,0,0,0,0.357243026781455,0,0,0,0,0,0,0,0,0,0,0.161867232541678,0,0,0,0.303110412288654,0.283110023983317,0,0,0.317419487873298,0,0.0741680000032029,0,0.146621134080494,0.0878245211993184,0.161576003807351,0,0,0,0,0,0,0,0
0,0,0.194156339805681,0,0.146195941719047,0.214826170391703,0,0,0,0,0.274801103145601,0,0,0,0.199437469261145,0,0,0,0,0,0,0.16127235217125,0,0,0,0,0,0,0,0,0,0.657304195810162,0,0.163731990796262,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.466652677523864,0,0,0,0,0,0,0,0,0,0.178468457803642,0,0,0,0,0,0.293760404237359,0.146090605109615,0,0,0,0,0,0,0,0,0,0,0,0.109089440905012,0,0,0,0.17291291114517,0,0,0,0,0,0,0,0
0,0.0923719323712084,0,0,0.144248411530941,0,0,0,0.274801103145601,0,0,0,0,0,1.51249731893897,0.206934062359282,0,0,0,0,0,0,0,0.0588817444067495,0,0,0,0,0,0,0,0.527512530347212,0,0,0,0,0.192263310808274,0,0,0,0,0,0,0,0
0,0,0.250333258193328,0,0.236526409789135,0,0,0.357243026781455,0,0,0,0,0.836740612245877,0.195837024785939,0,0,0,0,0,0.0702341934286749,0,0.0816222304554594,0,0.331608686022642,0,0,0.215983860570937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0336835385758897,0,0.525141794347331,0,0,0,0,0,0,0.836740612245877,0,0.242536004078746,0,0,0,0,0,0,0,0,0,0,0,0,0.635989614080497,0,0,0,0,0,0.178181338370922,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0716383843484913,0,0.11884212267048,0,0,0,0,0.178468457803642,0,0.195837024785939,0.242536004078746,0,0,0.150709995902537,0,0.467996596634144,0,0,0,0,0,0,0,0,0,0.116269734233114,0,0,0,0,0,0,0,0.19056385567883,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.199437469261145,0,1.51249731893897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0733420248278429,0.121064861555363,0,0.239635889577806,0.162002919863302,0,0,0,0,0,0.206934062359282,0,0,0.150709995902537,0,0,0.14380306557089,0,0,0.0116763146413961,0,0,0,0,0,0,0.169700962302046,0,0,0,0,0,0.121672467230843,0,0,0,0,0,0,0,0,0,0,0,0
0.152698116878566,0,0.0795945477457814,0,0,0.35839228032277,0,0,0,0,0,0,0,0,0,0.14380306557089,0,0,0.0260397610053474,0.278591106425658,0.319120116136105,0,1.05385327030935,0,0,0,0.193020449662239,0,0.227980233621138,0,0,0,0,0.166623704331277,0,0,0.0320273783452487,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.467996596634144,0,0,0,0,0,0,0,0,0,0,-2.30484548821879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.114032824332265,0,0,0.462655149659721,0,0,0,0,0,0,0,0,0,0,0.0260397610053474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313422005280066,0,0,0,0.483862299305668,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0680172379696276,0,0,0.160995632974609,0,0,0.293760404237359,0,0.0702341934286749,0,0,0,0.0116763146413961,0.278591106425658,0,0,0,0.482854140711006,0.225389500341069,0.126064379443163,0,0,0,0,0,0.0864504217603612,0,0,0,0,0,0,0,0.297326423368388,0,0,0,0.724217628111429,0,0,0,0
0.0692704301628281,0,0.228703752251458,0,0,0.154173612114443,0.40052945182516,0,0,0.146090605109615,0,0,0,0,0,0,0.319120116136105,0,0,0.482854140711006,0,0,0.167401561160936,0.207974446254369,0,0,0,0,0,0,0,0,0,0.110934617169228,0,0,0,0,0,0,0,0,0,0,0
0,0.308333001503501,0,0.311097825785462,0,0,0,0,0.16127235217125,0,0,0.0816222304554594,0,0,0,0,0,0,0,0.225389500341069,0,0,0,0,0,0,0.117070001176594,0,0.305576035639659,0,0,0.355294692588672,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.015064978385748,0,0.317996037687673,0.0351355414562211,0,0.161867232541678,0,0,0,0,0,0,0,0,1.05385327030935,0,0,0.126064379443163,0.167401561160936,0,0,0.189961252457662,0,0,0,0.153467609234421,0.351603345376196,0,0,0,0,0.117201329232269,0.176306012654723,0,0,0,0,0,0,0,0,0,0
0,0,0,0.268193581724628,0,0,0,0,0,0,0.0588817444067495,0.331608686022642,0,0,0,0,0,0,0,0,0.207974446254369,0,0.189961252457662,0,0,0,0,0,0.255564978594602,0,0,0,0.433451478868607,0,0,0.242273552432469,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30484548821879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.221538125788688,0.0410524461010276,0.128670761933979,0,0,0.303110412288654,0,0,0,0.215983860570937,0.635989614080497,0,0,0.169700962302046,0.193020449662239,0,0,0,0,0.117070001176594,0,0,0,0,0,0.149269409957136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.283110023983317,0,0,0,0,0,0.116269734233114,0,0,0,0,0,0,0,0,0.153467609234421,0,0,0,0.149269409957136,0,0.111393042041158,0,0,0,0,0,0.194835994172373,0.687954114527911,0.259218873945901,0,0,0,0,0,0,0,0
0.21305693657876,0,0,0.181744951457526,0.353930322638967,0,0.464423292829701,0,0,0,0,0,0,0,0,0,0.227980233621138,0,0,0.0864504217603612,0,0.305576035639659,0.351603345376196,0.255564978594602,0,0,0,0.111393042041158,0,0,0,0,0,0.161819109449146,0,0,0.145137440708058,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.184902476854654,0,0.317419487873298,0,0,0,0,0,0,0,0,0,0,0.313422005280066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285164306428256,0,0.0829732354898234,0,0,0,0,0,0,0,0
0,0.643425402552138,0,0.149895967140196,0.0724148015102485,0,0,0,0.657304195810162,0,0.527512530347212,0,0,0,0,0,0,0,0,0,0,0.355294692588672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480522894527035,0,0,0,0,0,0,0
0,0,0.38767063947279,0.511605531283881,0.298011309756231,0,0.813720086259615,0.0741680000032029,0,0.109089440905012,0,0,0.178181338370922,0,0,0.121672467230843,0,0,0,0,0,0,0,0.433451478868607,0,0,0,0,0,0,0,0,0,0.226624200602967,0,0,0,0,0,0,0,0,0,0,0
0.159947833450129,0,0,0,0,0.19422484196862,0,0,0.163731990796262,0,0,0,0,0,0,0,0.166623704331277,0,0,0,0.110934617169228,0,0.117201329232269,0,0,0,0,0,0.161819109449146,0,0,0,0.226624200602967,0,0,0,0.13487988385881,0,0,0,0,0,0,0,0
0,0,0,0,0,0.347821318756183,0,0.146621134080494,0,0,0,0,0,0,0,0,0,0,0.483862299305668,0,0,0,0.176306012654723,0,0,0,0,0.194835994172373,0,0,0.285164306428256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.327610117997695,0,0,0,0,0.20061839300461,0,0.0878245211993184,0,0,0,0,0,0.19056385567883,0,0,0,0,0,0,0,0,0,0.242273552432469,0,0,0,0.687954114527911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22960180921036,0
0,0,0.191652663586178,0,0,0.899760552162945,0.0184536753855636,0.161576003807351,0,0.17291291114517,0.192263310808274,0,0,0,0,0,0.0320273783452487,0,0,0.297326423368388,0,0,0,0,0,0,0,0.259218873945901,0.145137440708058,0,0.0829732354898234,0,0,0.13487988385881,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480522894527035,0,0,0,0,0,0,1.52284389284511,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52284389284511,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724217628111429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79137448447869,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79137448447869,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22960180921036,0,0,0,0,0,0,0,0,0
0,0,0,0.916049467769212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
